date,return,sentiment_mean,n_tweets,sentiment_lag1
2020-03-12,-0.07465630671972734,0.26070586,15,0.05443877
2020-03-13,0.06935595845145492,0.4483661,4,0.26070586
2020-03-16,-0.09861003206453456,0.19491026,7,0.4483661
2020-03-17,0.06277512055827428,0.17844298,15,0.19491026
2020-03-18,-0.033160319617538514,0.45428962,4,0.17844298
2020-03-19,-0.020483876515136057,0.46706557,12,0.45428962
2020-03-20,-0.03841922267951803,0.44338557,9,0.46706557
2020-03-23,-0.05193900026566722,0.29252556,11,0.44338557
2020-03-24,0.07705704743505071,0.011030691,7,0.29252556
2020-03-25,0.013313728762434751,-0.08327489,11,0.011030691
2020-03-26,0.06642888349487253,0.29886064,12,-0.08327489
2020-03-27,-0.021415885198746265,0.39457563,11,0.29886064
2020-03-30,0.0468290193693659,0.39365014,7,0.39457563
2020-03-31,-0.0043835357337986824,0.23929612,9,0.39365014
2020-04-01,-0.03804467634478581,0.11042979,9,0.23929612
2020-04-02,0.027696332386100808,0.27054256,8,0.11042979
2020-04-03,-0.009021485902875881,0.09657836,10,0.27054256
2020-04-06,0.052431579137343975,0.37838128,11,0.09657836
2020-04-07,-0.008212150224244708,0.0010824979,10,0.37838128
2020-04-08,0.041179274080349826,0.34359637,4,0.0010824979
2020-04-09,0.005513687449296478,0.19337854,10,0.34359637
2020-04-13,-0.008752582214684779,-0.030085655,6,0.19337854
2020-04-14,0.0331914066200778,0.27917704,5,-0.030085655
2020-04-15,-0.005148292950469591,0.11632929,8,0.27917704
2020-04-16,0.021838296536822677,0.2779848,8,0.11632929
2020-04-17,0.020763796312320393,-0.2515492,6,0.2779848
2020-04-20,-0.007938165779546091,0.1559333,5,-0.2515492
2020-04-21,-0.030406084383187593,0.23658343,15,0.1559333
2020-04-22,0.015266962370086956,0.2997651,9,0.23658343
2020-04-23,0.005486839567035551,0.088330485,10,0.2997651
2020-04-24,0.013439870614380567,0.44735798,4,0.088330485
2020-04-27,0.012862667960287677,0.37093523,9,0.44735798
2020-04-28,-0.020181314362645808,0.0015852241,15,0.37093523
2020-04-29,0.006631189280884353,0.2913427,9,0.0015852241
2020-04-30,-0.004591173830841289,0.3390605,10,0.2913427
2020-05-01,-0.019051253919987854,0.17581409,11,0.3390605
2020-05-04,-0.000511356761051851,0.12660249,6,0.17581409
2020-05-05,0.021681373103646706,0.18434747,6,0.12660249
2020-05-06,-0.00991006812687134,0.098926865,5,0.18434747
2020-05-07,-0.00010098623715093513,0.09332276,15,0.098926865
2020-05-08,0.005156883096667064,-0.16512628,9,0.09332276
2020-05-11,0.017201311966460464,0.09372947,10,-0.16512628
2020-05-12,-0.01522937235529942,0.24019925,10,0.09372947
2020-05-13,-0.010845511527664442,0.2897119,2,0.24019925
2020-05-14,0.010964426339928446,0.16199361,11,0.2897119
2020-05-15,0.008435388559441037,0.41344288,2,0.16199361
2020-05-18,0.00826527731539728,0.2223428,7,0.41344288
2020-05-19,-0.012049323857225125,0.058557626,7,0.2223428
2020-05-20,0.0011995153967789829,0.21614635,6,0.058557626
2020-05-21,-0.007388690101076789,0.39975774,6,0.21614635
2020-05-22,0.002112306561499855,0.2573352,5,0.39975774
2020-05-26,-0.001806720162754516,0.24191399,8,0.2573352
2020-05-27,0.01035803711095884,0.10658668,7,0.24191399
2020-05-28,0.01303862541870271,0.06303089,6,0.10658668
2020-05-29,0.012084798625568549,0.16347642,4,0.06303089
2020-06-01,-0.00990193335090972,0.049057193,10,0.16347642
2020-06-02,0.005785035264504579,0.15447186,9,0.049057193
2020-06-03,-0.0019498197336472733,-0.070972145,6,0.15447186
2020-06-04,-0.0079119165507745,0.17076693,10,-0.070972145
2020-06-05,0.016146711455943485,-0.0041587297,11,0.17076693
2020-06-08,0.006879209961556443,0.40838933,6,-0.0041587297
2020-06-09,-0.010392651448438595,0.45393744,7,0.40838933
2020-06-10,-0.0015558151731105418,0.22946973,11,0.45393744
2020-06-11,-0.05560949995489006,0.40836328,7,0.22946973
2020-06-12,0.006496543481480543,0.10922087,12,0.40836328
2020-06-15,0.0022542485030287995,0.06571483,18,0.10922087
2020-06-16,0.024636976150534284,0.6320154,6,0.06571483
2020-06-17,-0.0009976432413473235,-0.17822504,10,0.6320154
2020-06-18,-0.003395690549706787,0.3055058,9,-0.17822504
2020-06-19,0.009620289220604317,0.15279359,9,0.3055058
2020-06-22,-0.0038374287598371692,0.03937994,17,0.15279359
2020-06-23,0.004302517247338544,0.14660637,12,0.03937994
2020-06-24,-0.026103461385876714,0.17837445,12,0.14660637
2020-06-25,0.009820960372199261,0.2647756,16,0.17837445
2020-06-26,-0.012156977006566816,0.025494844,2,0.2647756
2020-06-29,0.009025018299474441,0.5925158,2,0.025494844
2020-06-30,0.01707463079190452,0.84879243,2,0.5925158
2020-07-01,0.007694747440817995,0.2036153,3,0.84879243
2020-07-02,0.007536861246135285,-0.12348746,7,0.2036153
2020-07-06,0.010137601446437161,-0.10864355,14,-0.12348746
2020-07-07,-0.008671854394646239,-0.03560941,12,-0.10864355
