market_date,n_tweets,sentiment_mean
2020-09-22,9,0.23506768
2020-09-23,5,0.21410413
2020-09-24,3,0.18475097
2020-09-25,7,0.24423902
2020-09-26,1,0.055365257
2020-09-28,15,0.20567629
2020-09-29,7,0.46455115
2020-10-01,6,0.30722818
2020-10-02,8,0.31033957
2020-10-03,4,0.6897727
2020-10-04,4,0.5414984
2020-10-05,3,0.52802515
2020-10-06,11,0.56109834
2020-10-07,9,0.061524067
2020-10-08,4,0.35428965
2020-10-09,16,0.35225794
2020-10-10,7,0.41110584
2020-10-11,4,0.592685
2020-10-12,5,0.43358317
2020-10-13,8,0.5124273
2020-10-14,10,0.41815597
2020-10-15,9,0.5559151
2020-10-16,6,0.63480794
2020-10-17,3,0.49315205
2020-10-18,4,0.84714204
2020-10-19,5,0.6140264
2020-10-20,10,0.3270797
2020-10-21,10,0.64123166
2020-10-22,6,0.42650306
2020-10-23,7,0.0789668
2020-10-24,7,0.465338
2020-10-25,4,0.6343981
2020-10-26,2,0.77349544
2020-10-27,9,0.38967285
2020-10-28,7,0.17380027
2020-10-29,4,0.2275576
2020-10-30,7,0.39158887
2020-10-31,8,0.2783498
2020-11-01,1,-0.82297254
2020-11-02,6,0.19908686
2020-11-03,15,0.36490786
2020-11-04,9,-0.118068084
2020-11-05,6,-0.14907886
2020-11-06,6,-0.13503462
2020-11-07,6,0.09722543
2020-11-08,2,0.8367077
2020-11-09,5,-0.22706218
2020-11-10,4,0.45367187
2020-11-11,7,0.1281421
2020-11-12,8,0.20132765
2020-11-13,8,0.10932279
2020-11-14,5,0.105067655
2020-11-15,4,0.44155604
2020-11-16,5,0.31450525
2020-11-17,11,0.36358103
2020-11-18,10,0.06901558
2020-11-19,11,0.19960779
2020-11-20,5,0.1410193
2020-11-21,8,0.17658198
2020-11-22,4,0.63120407
2020-11-23,9,0.102616474
2020-11-24,11,0.21065925
2020-11-25,7,-0.45554465
2020-11-26,6,0.36017454
2020-11-27,10,0.095135845
2020-11-28,2,0.735579
2020-11-29,1,0.6565177
2020-12-01,4,0.12551422
